id,ruta,lon,lat
123,REVOLUCION,-100.3869985,20.576728211
124,REVOLUCION,-100.3854589,20.576519103
125,REVOLUCION,-100.3848584,20.575625990
126,REVOLUCION,-100.3826787,20.576069030
127,REVOLUCION,-100.3828847,20.571424881
128,REVOLUCION,-100.3727663,20.560149707
129,REVOLUCION,-100.3709506,20.559456650
130,5FEBRERO,-100.4431368,20.746101569
131,5FEBRERO,-100.4428716,20.742033972
132,5FEBRERO,-100.443674,20.733593027
133,5FEBRERO,-100.4429801,20.730839450
134,5FEBRERO,-100.4397241,20.723209764
135,5FEBRERO,-100.4387772,20.716039151
136,5FEBRERO,-100.4383287,20.711825800
137,5FEBRERO,-100.4374644,20.704058166
138,5FEBRERO,-100.4373911,20.701803197
139,5FEBRERO,-100.437066,20.697767126
140,5FEBRERO,-100.4358589,20.688519569
141,5FEBRERO,-100.4355082,20.685454147
142,5FEBRERO,-100.4346208,20.678211454
143,5FEBRERO,-100.4338687,20.671013481
144,5FEBRERO,-100.4329482,20.663405907
145,5FEBRERO,-100.4322267,20.656160816
146,5FEBRERO,-100.4315128,20.650503153
147,5FEBRERO,-100.431136,20.646523866
148,5FEBRERO,-100.4308373,20.643110982
149,5FEBRERO,-100.4305067,20.640400653
150,5FEBRERO,-100.4291474,20.637303110
151,5FEBRERO,-100.4278373,20.634663115
152,5FEBRERO,-100.4269536,20.632699899
153,5FEBRERO,-100.4247065,20.627321035
154,5FEBRERO,-100.4227491,20.622483036
155,5FEBRERO,-100.4216352,20.618658538
156,5FEBRERO,-100.4200428,20.612989304
157,5FEBRERO,-100.4185202,20.607592436
158,5FEBRERO,-100.4171135,20.602695040
159,5FEBRERO,-100.4157044,20.597587534
160,5FEBRERO,-100.4143535,20.592955013
161,5FEBRERO,-100.4134363,20.589681633
162,5FEBRERO,-100.4126477,20.587087676
163,5FEBRERO,-100.4113584,20.585730385
164,5FEBRERO,-100.4097666,20.584228184
165,5FEBRERO,-100.4070867,20.581706825
166,5FEBRERO,-100.4052083,20.584051479
167,5FEBRERO,-100.4046095,20.584239128
168,5FEBRERO,-100.4038269,20.583993133
