,File Name,land_and_ocean,Latitude,Longitude,julian_date,year,month,day
850,MOD04_3K.A2016007.1750.061.2017324225643.psgscs_000501444664.hdf,9,20.589866638183594,-100.42582702636719,2016007,2016,1,7
852,MOD04_3K.A2019108.1720.061.2019109014538.psgscs_000501444664.hdf,11,20.58749008178711,-100.40595245361328,2019108,2019,4,18
856,MOD04_3K.A2017157.1725.061.2017315152525.psgscs_000501444664.hdf,70,20.58733367919922,-100.38780212402344,2017157,2017,6,6
858,MOD04_3K.A2019081.1740.061.2019082012628.psgscs_000501444664.hdf,-1,20.588136672973633,-100.3748779296875,2019081,2019,3,22
868,MOD04_3K.A2016037.1805.061.2017325084949.psgscs_000501444664.hdf,9,20.587690353393555,-100.36795806884766,2016037,2016,2,6
878,MOD04_3K.A2018206.1740.061.2018207013552.psgscs_000501444664.hdf,53,20.586578369140625,-100.40428924560547,2018206,2018,7,25
890,MOD04_3K.A2017082.1745.061.2017314044656.psgscs_000501444664.hdf,7,20.587026596069336,-100.4066390991211,2017082,2017,3,23
891,MOD04_3K.A2018076.1750.061.2018077014243.psgscs_000501444664.hdf,6,20.583744049072266,-100.3639907836914,2018076,2018,3,17
896,MOD04_3K.A2017024.1710.061.2017312130304.psgscs_000501444664.hdf,15,20.587810516357422,-100.40697479248047,2017024,2017,1,24
909,MOD04_3K.A2018142.1740.061.2018143022514.psgscs_000501444664.hdf,34,20.58771514892578,-100.40911102294922,2018142,2018,5,22
943,MOD04_3K.A2017315.1740.061.2017316014427.psgscs_000501444664.hdf,37,20.58894157409668,-100.3836898803711,2017315,2017,11,11
945,MOD04_3K.A2017340.1735.061.2017341015211.psgscs_000501444664.hdf,54,20.58695411682129,-100.3864517211914,2017340,2017,12,6
971,MOD04_3K.A2016354.1735.061.2017329093132.psgscs_000501444664.hdf,21,20.587797164916992,-100.39610290527344,2016354,2016,12,19
